datetime,month,day,hour,dayofweek,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,registered
2011-03-09 00:00:00,3,9,0,2,3,0,0,2,26.24,30.305,73,7.0015,65
2012-08-13 14:00:00,8,13,14,0,3,0,1,1,32.8,34.85,33,7.0015,163
2011-05-11 17:00:00,5,11,17,2,4,0,0,1,15.58,19.695,40,11.0014,234
2012-09-08 19:00:00,9,8,19,5,3,0,1,1,32.8,37.88,55,12.998,533
2011-04-14 06:00:00,4,14,6,3,2,0,1,1,13.94,17.425,76,7.0015,66
2012-01-18 20:00:00,1,18,20,2,1,0,1,1,9.02,10.605,37,16.9979,164
2012-10-15 07:00:00,10,15,7,0,4,0,1,2,23.78,27.275,68,22.0028,461
2011-03-03 17:00:00,3,3,17,3,1,0,1,1,10.66,15.15,22,0.0,185
2011-06-19 07:00:00,6,19,7,6,2,0,0,2,27.06,30.305,78,11.0014,36
2012-05-04 12:00:00,5,4,12,4,2,0,1,1,18.04,21.97,33,0.0,210
2012-05-07 11:00:00,5,7,11,0,3,0,1,1,36.9,40.91,35,19.9995,137
2012-10-04 21:00:00,10,4,21,3,2,0,1,1,18.04,21.97,30,30.0026,191
2011-08-10 17:00:00,8,10,17,2,4,0,0,1,25.42,31.06,50,8.9981,219
2011-06-06 02:00:00,6,6,2,0,2,0,1,1,23.78,27.275,88,7.0015,4
2012-09-04 17:00:00,9,4,17,1,2,0,1,1,22.14,25.76,32,27.9993,565
2011-07-08 02:00:00,7,8,2,4,3,0,0,2,28.7,33.335,84,15.0013,48
2012-01-01 04:00:00,1,1,4,6,1,0,0,1,11.48,15.15,81,6.0032,8
2011-07-08 13:00:00,7,8,13,4,3,0,0,1,36.9,42.425,42,19.9995,206
2012-01-17 16:00:00,1,17,16,1,1,0,1,1,18.86,22.725,63,36.9974,205
2011-09-02 07:00:00,9,2,7,4,1,0,1,1,2.46,5.305,49,7.0015,95
